2022/03/28 09:45:37 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:38 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1894 HTTP/1.1" 200 None
2022/03/28 09:45:38 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:38 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1989 HTTP/1.1" 200 None
2022/03/28 09:45:39 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:39 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1990 HTTP/1.1" 200 None
2022/03/28 09:45:39 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:39 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1895 HTTP/1.1" 200 None
2022/03/28 09:45:40 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:40 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1896 HTTP/1.1" 200 None
2022/03/28 09:45:40 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:41 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1897 HTTP/1.1" 200 None
2022/03/28 09:45:41 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:41 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1901 HTTP/1.1" 200 None
2022/03/28 09:45:41 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:42 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1902 HTTP/1.1" 200 None
