2022/03/28 09:39:32 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:32 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431572606&action=productfile&lang=zh-cn&ver=3415 HTTP/1.1" 200 346
2022/03/28 09:39:32 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:34 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8300 HTTP/1.1" 200 25399
2022/03/28 09:39:34 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:34 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431574451&action=productfile&lang=zh-cn&ver=178 HTTP/1.1" 200 444
2022/03/28 09:39:34 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:34 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431574605&action=productfile&lang=zh-cn&ver=2276 HTTP/1.1" 200 370
2022/03/28 09:39:34 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:34 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431574746&action=productfile&lang=zh-cn&ver=2324 HTTP/1.1" 200 335
2022/03/28 09:39:34 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:36 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8400 HTTP/1.1" 200 25349
2022/03/28 09:39:36 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:36 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431576331&action=productfile&lang=zh-cn&ver=179 HTTP/1.1" 200 393
2022/03/28 09:39:36 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:36 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431576483&action=productfile&lang=zh-cn&ver=2275 HTTP/1.1" 200 368
2022/03/28 09:39:36 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:38 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8400G HTTP/1.1" 200 25470
2022/03/28 09:39:38 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:38 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431578524&action=productfile&lang=zh-cn&ver=3416 HTTP/1.1" 200 346
2022/03/28 09:39:38 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:40 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8500 HTTP/1.1" 200 26067
2022/03/28 09:39:40 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:40 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431580176&action=productfile&lang=zh-cn&ver=180 HTTP/1.1" 200 441
2022/03/28 09:39:40 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:41 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8600 HTTP/1.1" 200 20670
2022/03/28 09:39:41 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:41 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431581860&action=productfile&lang=zh-cn&ver=181 HTTP/1.1" 200 433
2022/03/28 09:39:42 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:44 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-9100W HTTP/1.1" 200 19528
